SITE_CODE,SHORT_TITLE,TITLE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,EXTRACT_DATE
S0004988,Vivien,Vivien,Operating,Vivien,120.568522,-27.976476,260839,6903022,51,Au Ag,Precious metal,GOLD,20221018
S0004991,Atriedes,Atriedes - Karonie,Operating,Aldiss - Karonie,122.559575,-31.065608,457983,6563043,51,Au Ag,Precious metal,GOLD,20221018
S0005030,Maxwells,Maxwells,Operating,Randalls - Mt Monger,122.198932,-31.08101,423589,6561144,51,Au Ag,Precious metal,GOLD,20221018
S0005063,Otto Bore,Otto Bore,Operating,Thunderbox Gold,121.015082,-28.111005,305016,6888909,51,Au Ag,Precious metal,GOLD,20221018
S0005074,Cockeyed Bob Deeps,Cockeyed Bob Deeps,Operating,Randalls - Mt Monger,122.176786,-31.088521,421482,6560296,51,Au Ag,Precious metal,GOLD,20221018
S0005156,King of the Hills,King of the Hills Underground,Operating,Tarmoola - King of the Hills,121.163002,-28.671459,320497,6827032,51,Au Ag,Precious metal,GOLD,20221018
S0005315,Gilbeys,Gilbeys - Dalgaranga,Operating,Dalgaranga - Gilbeys,117.265226,-27.846241,526115,6919802,50,Au Ag,Precious metal,GOLD,20221018
S0005365,Bungarra,Bungarra,Operating,North Laverton Gold,121.466839,-27.400148,348419,6968310,51,Au Ag,Precious metal,GOLD,20221018
S0005388,Cutters Ridge Main,Cutters Ridge Main,Operating,Mungari / Evolution,121.182302,-30.771702,326045,6594286,51,Au Ag,Precious metal,GOLD,20221018
S0005546,Zone 19,Plutonic Zone 19 and Zone 550 - Baltic,Operating,Plutonic Gold,119.442596,-25.293249,745941,7200340,50,Au Ag,Precious metal,GOLD,20221018
S0005627,Panther,Panther,Operating,Jaurdi - Cammi's Creek,120.884697,-30.68709,297382,6603166,51,Au Ag,Precious metal,GOLD,20221018
S0005786,White Foil,White Foil,Operating,Mungari / Evolution,121.250603,-30.773726,332586,6594167,51,Au Ag,Precious metal,GOLD,20221018
S0005837,Golden Wings,Golden Wings,Operating,Dalgaranga - Gilbeys,117.295898,-27.821173,529141,6922572,50,Au Ag,Precious metal,GOLD,20221018
S0005841,Centenary,Centenary - Oval,Operating,Darlot,121.285769,-27.886146,331261,6914229,51,Au Ag,Precious metal,GOLD,20221018
S0005842,New Holland S UG,New Holland South Underground,Operating,Agnew - Emu,120.497378,-27.985018,253858,6901934,51,Au Ag,Precious metal,GOLD,20221018
S0005907,Granny Venn,Granny Venn,Operating,East Menzies Gold,121.091797,-29.664061,315324,6716916,51,Au Ag,Precious metal,GOLD,20221018
S0005909,Bulletin U/G,Bulletin Underground,Operating,Matilda,120.246696,-26.61145,225834,7053646,51,Au Ag,Precious metal,GOLD,20221018
S0006416,Federal,Federal,Operating,Paddington - Mt Pleasant,121.4133,-30.412621,347593,6634423,51,Au Ag,Precious metal,GOLD,20221018
S0006418,Lady Rosie,Lady Rosie,Operating,Cue Gold - Central Murchison,117.801355,-27.395183,579228,6969538,50,Au Ag,Precious metal,GOLD,20221018
S0006435,Arctic Zone,Arctic Zone,Operating,Kundana - White Flag,121.220299,-30.693701,329545,6602991,51,Au,Precious metal,GOLD,20221018
S0006486,Porphyry,Porphyry - Ora Banda,Operating,Paddington - Mt Pleasant,121.0233,-30.49255,310282,6624973,51,Au Ag,Precious metal,GOLD,20221018
S0006504,Rosemont,Rosemont,Operating,Duketon / Regis Resources,122.27453,-27.838985,428563,6920423,51,Au Ag,Precious metal,GOLD,20221018
S0006553,Klondyke,Klondyke,Operating,Warrawoona Gold / Calidus,119.892303,-21.33811,800006,7637675,50,Au Ag,Precious metal,GOLD,20221018
S0006568,Jakarta,Jakarta,Operating,Paddington - Mt Pleasant,121.401912,-30.42485,346519,6633052,51,Au Ag,Precious metal,GOLD,20221018
S0006569,Anchor-Zeta,Anchor - Zeta,Under Development,Duketon / Regis Resources,122.34753,-27.672218,435653,6938936,51,Au Ag,Precious metal,GOLD,20221018
S0006570,Fort William,Fort William,Operating,Binduli,121.384102,-30.788719,345388,6592697,51,Au Ag,Precious metal,GOLD,20221018
S0006621,Sunrise Dam Underground,Sunrise Dam Underground,Operating,Sunrise Dam,122.419353,-29.079405,443488,6783078,51,Au Ag As,Precious metal,GOLD,20221018
S0006651,Zone 124,Plutonic Zone 124,Operating,Plutonic Gold,119.442299,-25.30196,745893,7199375,50,Au Ag,Precious metal,GOLD,20221018
S0006652,Plutonic NW,Plutonic Northwest,Operating,Plutonic Gold,119.438004,-25.314529,745435,7197990,50,Au Ag,Precious metal,GOLD,20221018
S0006668,The Mount,The Mount,Operating,The Mount,121.56947,-31.528304,364185,6510960,51,Au Ag,Precious metal,GOLD,20221018
S0006687,Golden Orb,Golden Orb,Operating,Marda / Southern Cross,119.182297,-30.285641,709897,6647546,50,Au Ag,Precious metal,GOLD,20221018
S0006727,Beta Hunt,Beta Hunt Surface Gold,Operating,Kambalda - St Ives,121.696799,-31.246434,375905,6542354,51,Au Ag,Precious metal,GOLD,20221018
S0006746,Starlight UG,Starlight Underground,Operating,Fortnum,118.358498,-25.321899,636734,7198714,50,Au Ag,Precious metal,GOLD,20221018
S0009463,Regal,Regal - Boorara,Operating,Boorara / Horizon,121.638346,-30.799029,369731,6591878,51,Au Ag,Precious metal,GOLD,20221018
S0016736,Milky Way,Milky Way,Operating,Mt Magnet,117.788887,-28.053322,577528,6896640,50,Au Ag,Precious metal,GOLD,20221018
S0017129,Pegasus,Pegasus - Kundana East,Operating,Kundana East,121.256852,-30.737972,333123,6598139,51,Au Ag,Precious metal,GOLD,20221018
S0018747,Thunderbox Zone C,Thunderbox Zone C,Operating,Thunderbox Gold,121.007181,-28.190531,304385,6880084,51,Au Ag,Precious metal,GOLD,20221018
S0018779,Bakers Flat - Tarranto,Bakers Flat - Tarranto,Operating,South Kalgoorlie Operations,121.268705,-30.969423,334655,6572501,51,Au Ag,Precious metal,GOLD,20221018
S0018836,Fender,Fender,Operating,Cue Gold - Central Murchison,117.635399,-27.3442,562849,6975280,50,Au Ag,Precious metal,GOLD,20221018
S0018909,Kailis,Kailis,Operating,Kailis,121.288398,-28.840312,333021,6808503,51,Au Ag,Precious metal,GOLD,20221018
S0019084,Waroonga Underground,Waroonga Underground,Operating,Agnew - Emu,120.505798,-28.004499,254730,6899792,51,Au Ag,Precious metal,GOLD,20221018
S0019420,Deep South,Deep South - South Laverton Pit,Operating,Deep South - Safari Bore,122.54842,-29.546148,456249,6731418,51,Au Ag,Precious metal,GOLD,20221018
